name,genre
ビール,ビール
麦焼酎,焼酎
芋焼酎,焼酎
栗焼酎,焼酎
米焼酎,焼酎
そば焼酎,焼酎
黒糖焼酎,焼酎
シソ焼酎,焼酎
牛乳焼酎,焼酎
大吟醸酒,日本酒
吟醸酒,日本酒
純米大吟醸,日本酒
純米吟醸酒,日本酒
特別純米酒,日本酒
純米酒,日本酒
特別本醸造酒,日本酒
本醸造酒,日本酒
梅酒サワー,梅酒
梅酒ロック,梅酒
レモンサワー,サワー
ライムサワー,サワー
グレープフルーツサワー,サワー
コーラハイ,酎ハイ
ウーロンハイ,酎ハイ
緑茶ハイ,酎ハイ
ハイボール,ウイスキー
ジャパニーズウイスキー,ウイスキー
スコッチウイスキー,ウイスキー
アイリッシュウイスキー,ウイスキー
アメリカンウイスキー,ウイスキー
カナディアンウイスキー,ウイスキー
シングルモルトウイスキー,ウイスキー
ブレンデッドモルトウイスキー,ウイスキー
グレーンウイスキー,ウイスキー
ブレンデッドウイスキー,ウイスキー
コーンウイスキー,ウイスキー
バーボンウイスキー,ウイスキー
カベルネ・ソーヴィニヨン,ワイン
メルロー,ワイン
ピノ・ノワール,ワイン
ガメイ,ワイン
サンジョヴェーゼ,ワイン
カベルネ・フラン,ワイン
シャルドネ,ワイン
ソーヴィニヨン・ブラン,ワイン
リースリング,ワイン
シュナン・ブラン,ワイン
セミヨン,ワイン
ミュスカデ,ワイン
コニャック,ブランデー
アルマニャック,ブランデー
フレンチブランデー,ブランデー
ピスコ,ブランデー
ポマースブランデー,ブランデー
アップルブランデー,ブランデー
キルシュヴァッサー,ブランデー
フランボワーズ,ブランデー
スリヴォヴィッツ,ブランデー
バラック・パリンカ,ブランデー
ポワールブランデー,ブランデー
